societe,adresse_postale,code_postal,email_destinataire,domaine,url
CARREFOUR SYSTEMES D'INFORMATION (C.S.I.),ZI ROUTE DE PARIS 14120 MONDEVILLE,14120 MONDEVILLE,,6 secteurs,
GILLES WERBROUCK,22 RUE HAUTE 14600 HONFLEUR,14600 HONFLEUR,,6 secteurs,
TALEEN,PERICENTRE 3 26 AVENUE DE THIES 14000 CAEN,14000 CAEN,,6 secteurs,
LSV CONSEIL (AGS),CHEMIN DE CALLENVILLE 14360 TROUVILLE-SUR-MER,14360 TROUVILLE-SUR-MER,,6 secteurs,
EURL WEEZY,16 RUE DU CLOS SAINT-MATHIEU 14860 AMFREVILLE,14860 AMFREVILLE,,6 secteurs,
SYLVAIN ANDRE,LE BOIS ROGER 14170 SAINT-PIERRE-EN-AUGE,14170 SAINT-PIERRE-EN-AUGE,,6 secteurs,
NORM3D,2 RUE JEAN PERRIN 14460 COLOMBELLES,14460 COLOMBELLES,,6 secteurs,
INMIND-VR,17 RUE CLAUDE BLOCH 14000 CAEN,14000 CAEN,,6 secteurs,
CLEMENT BOUQUET (FASORY),3 RUE SAINT CLAIR 14500 VIRE-NORMANDIE,14500 VIRE-NORMANDIE,,6 secteurs,
DIMITRI LEBOUTEILLER,17 AVENUE JEAN TERNISIEN 14150 OUISTREHAM,14150 OUISTREHAM,,6 secteurs,
ACCESS-MAN (ACCESS-MAN),11 HAM DE NAVARRE CHICHEBOVILLE 14370 MOULT-CHICHEBOVILLE,14370 MOULT-CHICHEBOVILLE,,6 secteurs,
SEBINFO.FR,16 RUE DES ECOLES 14540 SOLIERS,14540 SOLIERS,,6 secteurs,
SAMDOC MEDICAL TECHNOLOGIES,PERICENTRE 3 26 AVENUE DE THIES 14000 CAEN,14000 CAEN,,6 secteurs,
CYRIL NOUGAREDE,1 RUE DE STRASBOURG 14610 CAIRON,14610 CAIRON,,6 secteurs,
BE MAP GUEST,2 B RUE EUGENIE 14000 CAEN,14000 CAEN,,6 secteurs,
ASLAK STUDIO,77 B RUE DE SAINT-ANDRE 14123 FLEURY-SUR-ORNE,14123 FLEURY-SUR-ORNE,,6 secteurs,
REMI HERBULOT,CIDEX F 12 14210 THUE ET MUE,14210 THUE ET MUE,,6 secteurs,
PIERRE HUNOUT,4 AVENUE DES ECOLES 14460 COLOMBELLES,14460 COLOMBELLES,,6 secteurs,
YOUSIGN,RUE DE SUEDE AVENUE PIERRE BERTHELOT 14000 CAEN,14000 CAEN,,6 secteurs,
SEAVER,17 RUE CLAUDE BLOCH 14000 CAEN,14000 CAEN,,6 secteurs,
TEICEE (SIF),153 RUE GERALDINE MOCK 14760 BRETTEVILLE-SUR-ODON,14760 BRETTEVILLE-SUR-ODON,,6 secteurs,
MH COMMUNICATION (MH COMMUNICATION) (MH COM),171 RUE D'EPRON 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
FREDERIC LEMOIGNE (GREENTOOLS),33 RUE SAINT-NORBERT 14000 CAEN,14000 CAEN,,6 secteurs,
OLIVIER BUGNOT,14 ROUTE DE CAEN 14100 SAINT-DESIR,14100 SAINT-DESIR,,6 secteurs,
KAD !,PERICENTRE III 26 AVENUE DE THIES 14000 CAEN,14000 CAEN,,6 secteurs,
GEEKAT (APOLLO STUDIO),IMMEUBLE PLUG N'WORK 2 RUE JEAN PERRIN 14460 COLOMBELLES,14460 COLOMBELLES,,6 secteurs,
TAPBUY SAS,16 QUAI AMIRAL HAMELIN 14000 CAEN,14000 CAEN,,6 secteurs,
CABINET RICHARD GOECHON,78 RUE DU GENERAL LECLERC 14100 LISIEUX,14100 LISIEUX,,6 secteurs,
SAMM,4 RUE LUCIE DELARUE MARDRUS 14600 HONFLEUR,14600 HONFLEUR,,6 secteurs,
FLORENCE BAILLEUL,53 RUE CHARLES DE COULOMB 14120 MONDEVILLE,14120 MONDEVILLE,,6 secteurs,
SARL LEONARD,2 T AVENUE PERE CHARLES DE FOUCAULD 14000 CAEN,14000 CAEN,,6 secteurs,
ATREIA,159 RUE DE BAYEUX 14000 CAEN,14000 CAEN,,6 secteurs,
ECS,1 IMPASSE INITIALIS 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
INFORMATIQUE PROG (INFORMATIQUE PROG),2 IMPASSE LEBISEY 14610 EPRON,14610 EPRON,,6 secteurs,
VINCENT DUBOIS (DUBOIS-VINCENT),1202 LE BOIS 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
6CURE,701 RUE LEON FOUCAULT 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
GUILLAUME BELLEUVRE (GUILLAUME BELLEUVRE),GRANDMESNIL 3042 ROUTE DE LA CROIX BLANCHE 14170 SAINT-PIERRE-EN-AUGE,14170 SAINT-PIERRE-EN-AUGE,,6 secteurs,
FRANCOIS VERSEPUY,3 RUE DES SERRES 14280 SAINT-CONTEST,14280 SAINT-CONTEST,,6 secteurs,
SOFT INDUSTRIE (SOFT INDUSTRIE) (SI),32 RUE DU DOCTEUR OPOIS 14780 LION-SUR-MER,14780 LION-SUR-MER,,6 secteurs,
BENJAMIN GOSSET (BENJAMIN GOSSET - CREATION ET DEVELOPPEMENT DE SITES WEB),APP 15 15 RUE MICHEL TOURNIER 14120 MONDEVILLE,14120 MONDEVILLE,,6 secteurs,
BENJAMIN MARGUERITE,22 RUE DE LA MER 14830 LANGRUNE-SUR-MER,14830 LANGRUNE-SUR-MER,,6 secteurs,
SAID SEFRIOUI,RES NOUVEAUX BASSINS BAT CAPUCINE 22 RUE DE VER 14470 COURSEULLES-SUR-MER,14470 COURSEULLES-SUR-MER,,6 secteurs,
CHRISTOPHE BLAIZE,LES FORGES 14140 MEZIDON VALLEE D'AUGE,14140 MEZIDON VALLEE D'AUGE,,6 secteurs,
SAMUEL LECOQ,24 RUE DE L'AURORE 14000 CAEN,14000 CAEN,,6 secteurs,
FREDERIC GROSSE,LE CLOS DU FRESNE 6 CHEMIN CONSTANTIN JAMES 14210 BARON-SUR-ODON,14210 BARON-SUR-ODON,,6 secteurs,
CYRILLE BAEKELANDT,6 RUE AUGUSTE RENOIR 14320 SAINT-MARTIN-DE-FONTENAY,14320 SAINT-MARTIN-DE-FONTENAY,,6 secteurs,
NICOLAS ROBVEILLE,37 RUE BELLEVUE 14000 CAEN,14000 CAEN,,6 secteurs,
SEBASTIEN BACON (EGGS'N'BACON),1805 BD DU BOIS 14200 HEROUVILLE SAINT CLAIR,14200 HEROUVILLE SAINT CLAIR,,6 secteurs,
THIERRY WATTELET (PRIMO WEB),9 CITE JARDINS 14330 LISON,14330 LISON,,6 secteurs,
MELCHIOR TETU,PERICENTRE 3 26 AVENUE DE THIES 14000 CAEN,14000 CAEN,,6 secteurs,
ARTHUR SAUSSEREAU,2 RUE DE LA GARE 14170 SAINT-PIERRE-EN-AUGE,14170 SAINT-PIERRE-EN-AUGE,,6 secteurs,
VINCENT GUEDES,6 RUE GUILLAUME LE CONQUERANT 14000 CAEN,14000 CAEN,,6 secteurs,
CHRISTOPHER BRIBET,49 B ROUTE DE FONTAINE 14210 BARON-SUR-ODON,14210 BARON-SUR-ODON,,6 secteurs,
BHSC INFORMATIQUE,65 RUE JOSEPH PHILIPPON 14000 CAEN,14000 CAEN,,6 secteurs,
LIGNE 15,LD LES VILLAINS 14130 SAINT BENOIT D'HEBERTOT,14130 SAINT BENOIT D'HEBERTOT,,6 secteurs,
MALLORY COEUR,14 RUE DE LA LIBERTE 14920 MATHIEU,14920 MATHIEU,,6 secteurs,
PARKER ET LEWIS,9 ROUTE D'AUDRIEU 14250 TILLY-SUR-SEULLES,14250 TILLY-SUR-SEULLES,,6 secteurs,
EASY-HIGH-T (EHT),64 RUE DE FALAISE 14000 CAEN,14000 CAEN,,6 secteurs,
CLEMENT FAUQUET (CLEMENT FAUQUET),42 RUE DES FRERES COLIN 14000 CAEN,14000 CAEN,,6 secteurs,
BERNARD LEVANNIER,12 RUE GEORGES BRASSENS 14370 ARGENCES,14370 ARGENCES,,6 secteurs,
JULIEN BODIN,5 RUE GUY DE MAUPASSANT 14320 FONTENAY-LE-MARMION,14320 FONTENAY-LE-MARMION,,6 secteurs,
FLORIAN BUQUET CROTEAU (HEXA PERFORMANCE),210 RUE DE L'AVENIR 14790 VERSON,14790 VERSON,,6 secteurs,
IBC DIALOG (IBC DIALOG) (IBC),4 RUE DE BRUXELLES 14120 MONDEVILLE,14120 MONDEVILLE,,6 secteurs,
EXMACHINIA,10 CHEMIN DU MARAIS 14810 MERVILLE-FRANCEVILLE-PLAGE,14810 MERVILLE-FRANCEVILLE-PLAGE,,6 secteurs,
BUREAUTIQUE SERVICES ET IMPRESSION (BSI),4 B AVENUE DE LA VOIE AU COQ 14760 BRETTEVILLE-SUR-ODON,14760 BRETTEVILLE-SUR-ODON,,6 secteurs,
ERIC JOURDAN,129 RUE DE LA REPUBLIQUE 14220 BOULON,14220 BOULON,,6 secteurs,
SARL ABACUS TECHNOLOGY,PERICENTRE IV 149 RUE DE LA DELIVRANDE 14000 CAEN,14000 CAEN,,6 secteurs,
CEDRIC LE COADOU,19 RUE DU GOULET 14970 SAINT-AUBIN-D'ARQUENAY,14970 SAINT-AUBIN-D'ARQUENAY,,6 secteurs,
ELITT,CAMPUS TECHNOLOGIQUE EFFISCIENCE 8 RUE LEOPOLD SEDAR SENGHOR 14460 COLOMBELLES,14460 COLOMBELLES,,6 secteurs,
ELIPS SOLUTION (TLZ SOLUTION),IMMEUBLE LE TRIFIDE 18 RUE CLAUDE BLOCH 14000 CAEN,14000 CAEN,,6 secteurs,
FIL CONSEIL & DEVELOPPEMENT,14 RUE EUGENIE 14000 CAEN,14000 CAEN,,6 secteurs,
ACEGI (ACCOMP CONS ENTREP GEST INFOR) (ACEGI),BATIMENTS PLUG N WORK 2 RUE JEAN PERRIN 14460 COLOMBELLES,14460 COLOMBELLES,,6 secteurs,
EURO LOGISTIC ANGERS,LD LE VESQUE 14250 HOTTOT-LES-BAGUES,14250 HOTTOT-LES-BAGUES,,6 secteurs,
ALLNET,IMMEUBLE RENCONTRE 1 RUE HENRI SPRIET 14120 MONDEVILLE,14120 MONDEVILLE,,6 secteurs,
DOMINIQUE TESSON,BERNIERES-LE-PATRY 5 RUE DE LA GARENNE 14410 VALDALLIERE,14410 VALDALLIERE,,6 secteurs,
JOEL DI MANNO ([ND]),[ND] [ND] [ND] [ND] [ND] [ND] [ND] [ND],[ND] ROSEL,,6 secteurs,
ESCADEV,8 RUE GRAND VENEUR 14930 MALTOT,14930 MALTOT,,6 secteurs,
JDK-AGI,7 RUE DU FREQUIN ROUGE 14130 PONT L'EVEQUE,14130 PONT L'EVEQUE,,6 secteurs,
MB AUDIT ASSOCIES,31 ROUTE DE HONFLEUR 14360 TROUVILLE-SUR-MER,14360 TROUVILLE-SUR-MER,,6 secteurs,
NICOLAS DESIRESSE (ICFR NUMERIQUE),2 B IMPASSE GEORGES BRASSENS 14250 TILLY-SUR-SEULLES,14250 TILLY-SUR-SEULLES,,6 secteurs,
EMMANUEL HOARAU,1076 CHEMIN DES FRICHES 14130 SAINT-HYMER,14130 SAINT-HYMER,,6 secteurs,
CHRISTIAN DUROUX,ROUTE DE LA VALLEE 25 ROUTE DE LA VALLEE 14510 HOULGATE,14510 HOULGATE,,6 secteurs,
EMMANUEL MACE (EM ACCOMPAGNEMENT),85 RUE DE LA MARE AUX FANETS 14880 HERMANVILLE-SUR-MER,14880 HERMANVILLE-SUR-MER,,6 secteurs,
KUPERBERG DATABASE CONSULTING (KDBC),LE PETIT PRE ROUTE DE MOYAUX 14130 SAINT-PHILBERT-DES-CHAMPS,14130 SAINT-PHILBERT-DES-CHAMPS,,6 secteurs,
ND CONSULTING,20 RUE BUTEMPS 14910 BENERVILLE-SUR-MER,14910 BENERVILLE-SUR-MER,,6 secteurs,
FRANCOIS TURMEL-CASTEL (TURMEL),LA ROCHE CHAUVIN 14410 VALDALLIERE,14410 VALDALLIERE,,6 secteurs,
BRUNO RIVALS CONSEIL,62 AVENUE DE LA BRIGADE PIRON 14640 VILLERS-SUR-MER,14640 VILLERS-SUR-MER,,6 secteurs,
GOOSSING TELECOM SAS (GOSSING TELECOM) (GTS),LE HEUSSEY ROUTE DE SERMENTOT 14250 SAINT-VAAST-SUR-SEULLES,14250 SAINT-VAAST-SUR-SEULLES,,6 secteurs,
ERIK FRITSCHE,7 RUE DE VERRIERES 14320 SAINT-MARTIN-DE-FONTENAY,14320 SAINT-MARTIN-DE-FONTENAY,,6 secteurs,
HAWKIX SI,RESIDENCE LE STADE 20 RUE DU CHEMIN VERT 14400 BAYEUX,14400 BAYEUX,,6 secteurs,
GERMAIN CHARLES LEPENANT,3 RUE DE BEAUMONT 14250 FONTENAY-LE-PESNEL,14250 FONTENAY-LE-PESNEL,,6 secteurs,
AIDOO SOFTWARE,RESIDENCE DE LA HAIE VIGNE 21 RUE HARDOUIN MANSARD 14000 CAEN,14000 CAEN,,6 secteurs,
JEREMIE FROMAGET (JFT CONSULTING),14 RUE DU REGIMENT DE LA CHAUDIERE 14610 COLOMBY-ANGUERNY,14610 COLOMBY-ANGUERNY,,6 secteurs,
EXITEAM,52 RUE D'ORIVAL 14100 LISIEUX,14100 LISIEUX,,6 secteurs,
LAURENT MEKDERIAN (LMS),14 PLACE ALBERT LEBRUN 14380 NOUES DE SIENNE,14380 NOUES DE SIENNE,,6 secteurs,
AO CONCEPT,INNOVAPARC A3 2 RUE JEAN PERRIN 14460 COLOMBELLES,14460 COLOMBELLES,,6 secteurs,
JULIEN JOUANNE,21 RUE DE LA CRIQUETIERE 14680 BRETTEVILLE-SUR-LAIZE,14680 BRETTEVILLE-SUR-LAIZE,,6 secteurs,
ACFI CONSULTING,ROULLOURS SAILLOFEST 14500 VIRE-NORMANDIE,14500 VIRE-NORMANDIE,,6 secteurs,
MATHIEU DORMEVAL,1608 BOULEVARD DE LA GRANDE DELLE 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
MOHAMMED OUARDI (ZERO14),38 RUE GASPARD DE COLIGNY 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
FREDERIC VANDERERVEN,40 RUE CLIVE HARRIS 14600 HONFLEUR,14600 HONFLEUR,,6 secteurs,
CHRISTOPHE ALEXANDRE,FERME SAINT CLAIR 14400 VAUX-SUR-SEULLES,14400 VAUX-SUR-SEULLES,,6 secteurs,
COMCIM,LA TUILERIE 14290 COURTONNE-LES-DEUX-EGLISES,14290 COURTONNE-LES-DEUX-EGLISES,,6 secteurs,
LUIS NOBRE,22 AVENUE DES COTEAUX 14790 VERSON,14790 VERSON,,6 secteurs,
KREAUDIS,LE TRIFIDE 18 RUE CLAUDE BLOCH 14000 CAEN,14000 CAEN,,6 secteurs,
